"Brand","Price","Photo","Model.Number","Engine.Type","Fuel.Type","Fuel.Tank.Capacity..Litres.","Air.Conditioner","Heater","AntiLock.Braking.System","Central.Locking","Power.Steering","Power.Windows","Leather.Seats","Anti.Lock.Braking","Brake.Assist","Central.Locking.1","Power.Door.Locks","Child.Safety.Locks","Night.Rear.View.Mirror","Rear.Seat.Belts","Door.Ajar.Warning","Adjustable.Seats","Crash.Sensor","Engine.Check.Warning","Rear.Camera","Anti.Theft.Device","Touch.Screen","Audio.System.Remote.Control","Speakers.Front...back","Bluetooth.Connectivity","USB...Auxiliary.Input","Adjustable.Steering.Column","Height.Adjustable.Driving.Seat","Digital.Clock","Smoke.Headlamps","Electric.Folding.Rear.View.Mirror","Automatic.Climate.Control","Low.Fuel.Warning.Light","Parking.Sensors","Bottle.Holder","Voice.Control","Seat.Belt.Warning","Vehicle.Stability.Control.System","Engine.Immobilizer","Rear.Reading.Lamp","Radio","Outside.Temperature.Display","Fog.Lights.Front...Back","Centrally.Mounted.Fuel.Tank","CD.Player","DVD.Player","Electric.Adjustable.Seats","Keyless.Entry","Tyre.Pressure.Monitor","Smart.Access.Card.Entry","Xenon.Headlamps","Halogen.Headlamps","Removable.Convertible.Top","Cassette.Player","power_hp","pojemnosc_L","moment_obrotowy_lb_ft","wysokosc_in","dlugosc_in","szerokosc_in","rozstaw_osi_in","przeswit_in","cylindry","bak","skrzynia_biegow","naped","siedzenia","drzwi","waga_lbs","paliwo","city_mpg","highway_mpg","nadwozie"
"Honda","25,440","https://www.ccarprice.com/products/Honda_Civic_Sport_2023.jpg","Civic Sport 2023","2.0L Inline-4 Gas","Petrol","12.4 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","","","","","","","","","","",158,2,138,55.7,179,70.9,107.7,5.2,NA,45,"CVT","front",5,4,2984,"Petrol",29,37,"Hatchback"
"Honda","29,990","https://www.ccarprice.com/products/Honda_CR_V_LX_2023.jpg","CR-V LX 2023","1.5L Turbo Inline-4 Gas","Gasoline","14 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","","Yes","","","","","","","","","","","","",190,1.5,179,66.1,182.1,73,104.8,6.2,4,53,"CVT","front",5,4,3337,"Petrol",28,34,"SUV"
"Honda","65,000","https://www.ccarprice.com/products/Honda_Clarity_Fuel_Cell_2023.jpg","Clarity Fuel Cell 2023","Electric","Electric","8.7 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","Yes","Yes","","","","","","",174,NA,221,58.2,192.7,73.9,108.3,NA,NA,30,"Automatic","front",5,4,4134,"Electric",70,0,"Sedan"
"Honda","46,230","https://www.ccarprice.com/products/Honda_Ridgeline_Black_Edition_2023.jpg","Ridgeline Black Edition 2023","3.5L V6 Gas","Petrol","19.5 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",280,3.5,262,70.8,210.2,78.6,125.2,NA,6,72,"Automatic","all",5,4,4510,"Petrol",18,24,"SUV"
"Honda","33,760","https://www.ccarprice.com/products/Honda_CR-V_EX-L_2023.jpg","CR-V EX-L 2023","1.5-liter Turbo Inline-4 Gas","Petrol","14 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","",190,1.5,179,66.2,184.8,73.5,106.3,NA,4,53,"CVT","front",5,4,3525,"Petrol",28,34,"SUV"
"Honda","31,070","https://www.ccarprice.com/products/Honda_Accord_Sport_SE_1_5T_2023.jpg","Accord Sport SE 1.5T 2023","1.5L Turbo Inline-4 Gas","Gasoline","14.8 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",192,1.5,192,57.1,196.1,73.3,111.4,5.8,4,53,"CVT","front",5,4,3230,"Petrol",29,35,"Sedan"
"Honda","33,950","https://www.ccarprice.com/products/Honda_CR_V_Hybrid_Sport_Touring_2023_1.jpg","CR-V Hybrid Sport Touring 2023","2.0L Inline-4 Hybrid","Hybrid","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","","","","","",204,2,247,NA,NA,NA,NA,NA,4,NA,"CVT","all",5,4,NA,"Hybrid",35,40,"SUV"
"Honda","32,450","https://www.ccarprice.com/products/Honda_CR-V_Hybrid_Sport_2023.jpg","CR-V Hybrid Sport 2023","2.0L Inline-4 Hybrid","Hybrid","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","","","","","",204,2,247,NA,NA,NA,NA,NA,4,NA,"CVT","all",5,4,NA,"Hybrid",35,40,"SUV"
"Honda","40,000","https://www.ccarprice.com/products/Honda_Pilot_2023_Specs.jpg","Pilot 2023","3.5L V6 Gas","Gasoline","19.5 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","","Yes","Yes","","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","","","","","","","",280,3.5,262,70.6,196.5,78.6,111,NA,6,72,"Automatic","all",8,5,4321,"Petrol",19,26,"SUV"
"Honda","36,830","https://www.ccarprice.com/products/Honda_Pilot_2022.jpg","Pilot Sport 2022","3.5L V6 Gas","Gasoline","19.5 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","","Yes","Yes","","","","","",280,3.5,262,70.6,196.5,78.6,111,NA,6,72,"Automatic","front",8,5,4030,"Petrol",20,27,"SUV"
"Honda","37,870","https://www.ccarprice.com/products/Honda_Passport_2023.jpg","Passport 2023","3.5-liter V6 Gas","Gasoline","19.5 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","","","","","","Yes","","","","","","",280,3.5,262,72.2,189.1,78.6,111,NA,6,72,"Automatic","all",5,4,4262,"Petrol",19,24,"SUV"
"Honda","32,790","https://www.ccarprice.com/products/Honda_Passport_2022.jpg","Passport Sport 2022","3.5-liter V6 Gas","Gasoline","19.5 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","","","","","","Yes","","","","","","",280,3.5,262,71.6,190.5,78.6,111,NA,NA,72,"Automatic","front",5,4,3955,"Petrol",20,25,"SUV"
"Honda","31,610","https://www.ccarprice.com/products/Honda_CR-V_Hybrid_2022.jpg","CR-V Hybrid 2022","2.0L Inline-4 Hybrid","Hybrid","14 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","",212,2,129,66.5,182.1,73,104.7,NA,4,53,"CVT","all",5,4,3708,"Hybrid",40,35,"SUV"
"Honda","41,210","https://www.ccarprice.com/products/Honda_Odyssey_Sport_2023.jpg","Odyssey Sport 2023","3.5-liter V6 Gas","Gasoline","19.5 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","","","","","","","","","","","","","","","","",280,3.5,262,69.6,205.2,78.5,118.1,4.5,NA,72,"Automatic","front",8,5,4535,"Petrol",19,28,"Van"
"Honda","37,340","https://www.ccarprice.com/products/Honda_Odyssey_2023.jpg","Odyssey 2023","3.5-liter V6 Gas","Gasoline","19.5 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","","","","","","","","","","","","","","","","",280,3.5,262,69.6,205.2,78.5,118.1,4.5,NA,72,"Automatic","front",8,5,4482,"Petrol",19,28,"Van"
"Honda","28,900","https://www.ccarprice.com/products/Honda_Insight_2023_1.jpg","Insight 2023","1.5-liter Inline-4 Hybrid","Hybrid","10.6 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","Yes","","","","","","","",151,1.5,99,55.6,183.6,71.6,106.3,NA,4,38,"CVT","front",5,4,3078,"Hybrid",51,45,"Sedan"
"Honda","25,760","https://www.ccarprice.com/products/Honda_Insight_2022.jpg","Insight EX 2022","1.5-liter Inline-4 Hybrid","Hybrid","10.6 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","Yes","","Yes","","","","","","",151,1.5,99,55.6,183.6,71.6,106.3,NA,4,38,"CVT","front",5,4,3000,"Hybrid",55,49,"Sedan"
"Honda","33,250","https://www.ccarprice.com/products/Honda_Clarity_2023.jpg","Clarity 2023","Hydrogen Fuel Cell","Electric","8.7 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","Yes","Yes","","","","","","",174,NA,221,58.2,192.7,73.9,108.3,NA,NA,30,"Automatic","front",5,4,4134,"Electric",70,0,"Sedan"
"Honda","28,000","https://www.ccarprice.com/products/Honda_Accord_2023_3.jpg","Accord 2023","1.5L Turbo Inline-4 Gas","Gasoline","14.8 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",192,1.5,260,57.1,196.1,73.3,111.4,NA,4,53,"CVT","front",5,4,3150,"Petrol",30,38,"Sedan"
"Honda","18,030","https://www.ccarprice.com/products/Honda_City_VX_MT_Diesel_2022.jpg","City VX MT Diesel 2022","Water Cooled Inline i-VTEC DOHC with VTC","Diesel","40.0 Liter Gallon","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","","","","","","",NA,NA,NA,60,182,70,104,7,4,100,"Manual","front",5,4,2620,"Diesel",15,21,"Sedan"
"Honda","16,150","https://www.ccarprice.com/products/Honda_City_VX_MT_2022.jpg","City VX MT 2022","Water Cooled Inline i-VTEC DOHC with VTC","Petrol","40.0 Liter Gallon","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","","","","","","",NA,NA,NA,60,182,70,104,7,4,100,"Manual","front",5,4,2620,"Petrol",16,21,"Sedan"
"Honda","16,330","https://www.ccarprice.com/products/Honda_City_V_MT_Diesel_2022.jpg","City V MT Diesel 2022","Water Cooled Inline i-DTEC DOHC","Diesel","40.0 Liter Gallon","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","","","","","","",NA,NA,NA,60,182,70,104,7,4,100,"Manual","front",5,4,2620,"Diesel",15,21,"Sedan"
"Honda","14,340","https://www.ccarprice.com/products/Honda_City_V_MT_2022.jpg","City V MT 2022","Water Cooled Inline i-VTEC DOHC with VTC","Petrol","40.0 Liter Gallon","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","","","","","","",NA,NA,NA,60,182,70,104,7,4,100,"Manual","front",5,4,2620,"Petrol",15,21,"Sedan"
"Honda","16,080","https://www.ccarprice.com/products/Honda_City_V_CVT_2022.jpg","City V CVT 2022","Water Cooled Inline i-VTEC DOHC with VTC","Petrol","40.0 Liter Gallon","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",NA,NA,NA,60,182,70,104,7,4,100,"Automatic","front",5,4,2620,"Petrol",16,21,"Sedan"
"Honda","14,330","https://www.ccarprice.com/products/Honda_City_2022_1.jpg","City 2022","Water Cooled Inline i-DTEC DOHC","Diesel","40.0 Liter Gallon","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",NA,NA,NA,60,182,70,104,7,4,100,"Manual","front",5,4,2620,"Diesel",15,21,"SUV"
"Honda","31,800","https://www.ccarprice.com/products/Honda_CR-V_2023.jpg","CR-V 2023","1.5L Turbo Inline-4 Gas","Gasoline","14 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","",190,1.5,179,66.5,182.1,73,104.7,NA,4,53,"CVT","all",5,4,NA,"Petrol",27,32,"SUV"
"Honda","28,690","https://www.ccarprice.com/products/Honda_HR-V_EX-L_2WD_2023.jpg","HR-V EX-L 2WD 2023","2.0L Inline-4 Gas","Gasoline","14.8 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","","",158,2,138,63.4,179.8,72.4,104.5,NA,4,53,"CVT","front",5,4,NA,"Petrol",26,32,"SUV"
"Honda","26,890","https://www.ccarprice.com/products/Honda_HR-V_LX_Sport_2WD_2023.jpg","HR-V Sport 2WD 2023","2.0L Inline-4 Gas","Gasoline","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","","",158,2,138,63.8,179.8,72.4,104.5,NA,4,NA,"CVT","front",5,4,NA,"Petrol",26,32,"SUV"
"Honda","23,650","https://www.ccarprice.com/products/Honda_HR-V_LX_2WD_2023.jpg","HR-V LX 2WD 2023","2.0L Inline-4 Gas","Gasoline","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","","",158,2,138,63.4,179.8,72.4,104.5,NA,4,NA,"CVT","front",5,4,NA,"Petrol",26,32,"SUV"
"Honda","23,650","https://www.ccarprice.com/products/Honda_HRV_2023.jpg","HR V 2023","2.0L Inline-4 Gas","Gasoline","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","","",158,2,138,63.4,179.8,72.4,104.5,NA,4,NA,"CVT","front",5,4,NA,"Petrol",26,32,"SUV"
"Honda","30,690","https://www.ccarprice.com/products/Honda_HR-V_EX-L_AWD_2023.jpg","HR-V EX-L AWD 2023","2.0L Inline-4 Gas","Gasoline","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","","",158,2,138,63.4,179.8,72.4,104.5,NA,4,NA,"CVT","all",5,4,NA,"Petrol",25,30,"SUV"
